epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1997.47,1.23218,1.1697,1.28161,0.72936,0.51754,0.59494,0.36299,1.36695,1.2303,1.35456,0.0011882,0.0011882,0.0011882
43,2044.97,1.24058,1.16668,1.28266,0.69091,0.54534,0.60309,0.37307,1.35513,1.19304,1.33577,0.0011684,0.0011684,0.0011684
44,2092.63,1.22874,1.14197,1.26746,0.7209,0.51155,0.59822,0.36893,1.35424,1.20814,1.33408,0.0011486,0.0011486,0.0011486
45,2140.16,1.2294,1.1669,1.27515,0.71028,0.54063,0.61172,0.37706,1.34995,1.18395,1.33537,0.0011288,0.0011288,0.0011288
46,2187.39,1.23002,1.14886,1.27604,0.7086,0.52317,0.60961,0.37448,1.39291,1.20588,1.36484,0.001109,0.001109,0.001109
47,2234.3,1.2011,1.1189,1.25298,0.6945,0.53849,0.60378,0.37637,1.32175,1.20082,1.30534,0.0010892,0.0010892,0.0010892
48,2282.07,1.206,1.1203,1.26135,0.70871,0.52951,0.60685,0.37487,1.33502,1.18331,1.31769,0.0010694,0.0010694,0.0010694
49,2329.03,1.2046,1.11619,1.25681,0.66312,0.53041,0.59295,0.36152,1.35796,1.20514,1.34097,0.0010496,0.0010496,0.0010496
50,2376.31,1.18799,1.09307,1.24475,0.70604,0.5311,0.6091,0.37815,1.34103,1.18143,1.34036,0.0010298,0.0010298,0.0010298
51,2423.81,1.19253,1.09458,1.24725,0.7045,0.53842,0.61799,0.38455,1.32479,1.18407,1.31927,0.00101,0.00101,0.00101
52,2470.9,1.17501,1.08299,1.23716,0.71885,0.53806,0.62042,0.38264,1.33209,1.16904,1.32019,0.0009902,0.0009902,0.0009902
53,2517.92,1.17933,1.07883,1.24053,0.73129,0.52438,0.61631,0.3842,1.35116,1.13583,1.33358,0.0009704,0.0009704,0.0009704
54,2564.81,1.18126,1.07436,1.24375,0.71053,0.5432,0.61537,0.38706,1.31888,1.14489,1.3234,0.0009506,0.0009506,0.0009506
55,2611.62,1.16608,1.06761,1.23593,0.72715,0.51864,0.61314,0.3852,1.31156,1.14468,1.31598,0.0009308,0.0009308,0.0009308
56,2658.49,1.1701,1.0559,1.23382,0.6937,0.54634,0.61432,0.38662,1.33286,1.1618,1.33536,0.000911,0.000911,0.000911
57,2705.42,1.16613,1.05157,1.23155,0.71803,0.5308,0.61765,0.385,1.32715,1.14136,1.31128,0.0008912,0.0008912,0.0008912
58,2752.15,1.16768,1.06116,1.22681,0.70056,0.55637,0.62461,0.38653,1.33285,1.12234,1.32667,0.0008714,0.0008714,0.0008714
59,2799.29,1.16302,1.03097,1.22388,0.7053,0.5556,0.62269,0.38707,1.33049,1.12493,1.33043,0.0008516,0.0008516,0.0008516
